name,address,address_url,phone,website_url,services
Jim’s Trailers Plus Marine,"3847 MN-371 NW, Hackensack, MN 56452",https://www.google.com/maps/place/Jim,218-675-7500,https://maps.app.goo.gl/asruVgkHxYqmxtua7,"trailers, marine"
Kountry Side Sales,"W1475 Hwy 63, Hayward, WI 54843","https://www.google.com/maps/place/Advanced+Docks+%26+Lifts/@46.3836932,-95.7444554,17z/data=!4m15!1m8!3m7!1s0x52c9be3af266284d:0xebf2b08bc4b30ea5!2s35398+Co+Hwy+1,+Battle+Lake,+MN+56515!3b1!8m2!3d46.3836932!4d-95.7444554!16s%2Fg%2F11cpn2b4bj!3m5!1s0x52c9be3ae1737f03:0x3cea8433770898ad!8m2!3d46.3836304!4d-95.744553!16s%2Fg%2F1232rbjn8?entry=ttu",715-634-2297,https://maps.app.goo.gl/R8TyDjnipRtFAL5h6,
Lakeshore Dock and Lift,"853 25 3/8 Street, Chetek, WI 54728","https://www.google.com/maps/place/Awaken+Marine+and+Pro-Shops/@45.2096383,-91.1133092,17z/data=!4m15!1m8!3m7!1s0x52ab5b84b2c8b249:0x327c90b6530037cf!2s25272+WI-27,+Holcombe,+WI+54745!3b1!8m2!3d45.2096383!4d-91.1107289!16s%2Fg%2F11k9dlfnpq!3m5!1s0x52ab5b0964c83ac1:0x4b5ed68b2b2bffa5!8m2!3d45.2096383!4d-91.1107289!16s%2Fg%2F11t86kwjfs?entry=ttu",715-205-4164,https://maps.app.goo.gl/R8TyDjnipRtFAL5h6,docks & lifts
Lake Weeders Digest,"5620 International Pkwy, New Hope, MN 55428","https://www.google.com/maps/place/Weeders+Digest/@45.0549258,-93.3963213,20.33z/data=!4m15!1m8!3m7!1s0x52b3365727f76623:0x866c5ae017aa1dd3!2s5620+International+Pkwy,+New+Hope,+MN+55428!3b1!8m2!3d45.054643!4d-93.3960514!16s%2Fg%2F11b8vfxqp0!3m5!1s0x52b3365c8b514c49:0xdf5125645605bba6!8m2!3d45.0548745!4d-93.3962806!16s%2Fg%2F1tfkktxg?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D",763-551-1441,https://maps.app.goo.gl/DqSqjbkRoBQgNrb17,
Lifts and Docks,,,,,docks & lifts
"Rhinelander, WI, 54501",,,715-420-2442,https://maps.app.goo.gl/DqSqjbkRoBQgNrb17,
Minnewaska Marine,"496 South Main Street, Starbuck, MN 56381","https://www.google.com/maps/place/Advanced+Auto+%26+Marine/@46.4251064,-95.5489182,17z/data=!4m15!1m8!3m7!1s0x52c9c31c0b4833fd:0xc10056c69d68d904!2s403+Main+St+E,+Ottertail,+MN+56571!3b1!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F11f65fcrhy!3m5!1s0x52c9c322315db457:0x477ef24dbc4ed61e!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F1tf47tcg?entry=ttu",320-239-2293,,marine
Milltown Powersports,"231 Eider Street,, Milltown, WI 54858",,715-825-3833,,
Main Street Auto,"1725 East Main Street,, Albert Lea, MN 56007","https://www.google.com/maps/place/Advanced+Auto+%26+Marine/@46.4251064,-95.5489182,17z/data=!4m15!1m8!3m7!1s0x52c9c31c0b4833fd:0xc10056c69d68d904!2s403+Main+St+E,+Ottertail,+MN+56571!3b1!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F11f65fcrhy!3m5!1s0x52c9c322315db457:0x477ef24dbc4ed61e!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F1tf47tcg?entry=ttu",507-668-4070,,auto
Main Street Auto,"4750 4th Street Southwest,, Mason City, IA 50401","https://www.google.com/maps/place/853+25+3%2F8+St,+Chetek,+WI+54728/@45.3282674,-91.6372367,17z/data=!3m1!4b1!4m6!3m5!1s0x52ace974f7e38617:0xebe18d63daf38973!8m2!3d45.3282674!4d-91.6346564!16s%2Fg%2F11c60_dq9c?entry=ttu",641-450-0910,,auto
"Melrude Boys, LLC",,,218-290-9041,,
MN Dock & Lift,"801 6th Street NW, New Prague, MN 56071","https://www.google.com/maps/place/853+25+3%2F8+St,+Chetek,+WI+54728/@45.3282674,-91.6372367,17z/data=!3m1!4b1!4m6!3m5!1s0x52ace974f7e38617:0xebe18d63daf38973!8m2!3d45.3282674!4d-91.6346564!16s%2Fg%2F11c60_dq9c?entry=ttu",952-303-1090,,docks & lifts
Northern Lights Docks and Ramps,"2208 State Route 5, Utica, NY 13502","https://www.google.com/maps/place/Northern+Lights+Docks+and+Ramps/@43.1002427,-75.1585321,17z/data=!4m15!1m8!3m7!1s0x89d947d8bf5340fb:0xaa61709ebb5e0490!2s2208+NY-5,+Utica,+NY+13502!3b1!8m2!3d43.1002427!4d-75.1559518!16s%2Fg%2F11crwcqgln!3m5!1s0x89d9471050a6af71:0xcc3ce9e37c2bad86!8m2!3d43.1002966!4d-75.1558817!16s%2Fg%2F11bwkd_d2l?entry=ttu",315-761-7669,,docks
Outlet Dock & Trailer,"4515 Memorial Hwy, Mandan, ND 58554","https://www.google.com/maps/place/Advanced+Docks+%26+Lifts/@46.3836932,-95.7444554,17z/data=!4m15!1m8!3m7!1s0x52c9be3af266284d:0xebf2b08bc4b30ea5!2s35398+Co+Hwy+1,+Battle+Lake,+MN+56515!3b1!8m2!3d46.3836932!4d-95.7444554!16s%2Fg%2F11cpn2b4bj!3m5!1s0x52c9be3ae1737f03:0x3cea8433770898ad!8m2!3d46.3836304!4d-95.744553!16s%2Fg%2F1232rbjn8?entry=ttu",(701) 214-0425,,"docks, trailers"
Minot Satellite Production Location,,,701-818-0288,,
Glenco Satellite Production Location,,,763-331-4445,,
Prososki All Care,"1079 State Hwy 84 NW, Pine River, MN 56474","https://www.google.com/maps/place/Advanced+Docks+%26+Lifts/@46.3836932,-95.7444554,17z/data=!4m15!1m8!3m7!1s0x52c9be3af266284d:0xebf2b08bc4b30ea5!2s35398+Co+Hwy+1,+Battle+Lake,+MN+56515!3b1!8m2!3d46.3836932!4d-95.7444554!16s%2Fg%2F11cpn2b4bj!3m5!1s0x52c9be3ae1737f03:0x3cea8433770898ad!8m2!3d46.3836304!4d-95.744553!16s%2Fg%2F1232rbjn8?entry=ttu",218-947-4518,,
Ree Marine,"16477 68th St,, Royalton, MN 56373","https://www.google.com/maps/place/16477+68th+St,+Royalton,+MN+56373/@45.8586662,-94.3146529,20.94z/data=!4m6!3m5!1s0x52b438e19f35c229:0xa4f161c36a922ce9!8m2!3d45.8586467!4d-94.3145385!16s%2Fg%2F11hzmq81_7?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D",320-250-5546,,marine
Tuttle Creek Outdoors,"301 Front Street,, Randolph, KS 66554",,785-293-5636,,
Z Marine,"2238 196th St E, Clearwater, MN 55320","https://www.google.com/maps/place/Advanced+Auto+%26+Marine/@46.4251064,-95.5489182,17z/data=!4m15!1m8!3m7!1s0x52c9c31c0b4833fd:0xc10056c69d68d904!2s403+Main+St+E,+Ottertail,+MN+56571!3b1!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F11f65fcrhy!3m5!1s0x52c9c322315db457:0x477ef24dbc4ed61e!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F1tf47tcg?entry=ttu",320-558-9422,,marine
