url,text,type
"https://www.google.com/maps/place/Advanced+Auto+%26+Marine/@46.4251064,-95.5489182,17z/data=!4m15!1m8!3m7!1s0x52c9c31c0b4833fd:0xc10056c69d68d904!2s403+Main+St+E,+Ottertail,+MN+56571!3b1!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F11f65fcrhy!3m5!1s0x52c9c322315db457:0x477ef24dbc4ed61e!8m2!3d46.4251064!4d-95.5463379!16s%2Fg%2F1tf47tcg?entry=ttu","Ottertail, MN 56571",external
tel:2183675100,218-367-5100,internal
http://advancedautoandmarineottertail.com,Website,external
"https://www.google.com/maps/place/Anytime+Trailer+Sales+And+Rental/@44.9156118,-91.3215468,19.63z/data=!4m14!1m7!3m6!1s0x87f8aed255171ef1:0xb7c40b0704564997!2s17292+50th+Ave,+Chippewa+Falls,+WI+54729!3b1!8m2!3d44.915666!4d-91.3216844!3m5!1s0x87f8abf5adb6474b:0xfd45ce7abfdb9219!8m2!3d44.9156134!4d-91.3216749!16s%2Fg%2F1ptz0lrbv?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D","17292 50th Ave,",external
"https://www.google.com/maps/place/Anytime+Trailer+Sales+And+Rental/@44.9156118,-91.3215468,19.63z/data=!4m14!1m7!3m6!1s0x87f8aed255171ef1:0xb7c40b0704564997!2s17292+50th+Ave,+Chippewa+Falls,+WI+54729!3b1!8m2!3d44.915666!4d-91.3216844!3m5!1s0x87f8abf5adb6474b:0xfd45ce7abfdb9219!8m2!3d44.9156134!4d-91.3216749!16s%2Fg%2F1ptz0lrbv?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D","Chippewa Falls, WI 54729",external
tel:7158294685,715-829-4685,internal
http://www.anytimetrailer.com/,Website,external
"https://www.google.com/maps/place/Awaken+Marine+and+Pro-Shops/@45.2096383,-91.1133092,17z/data=!4m15!1m8!3m7!1s0x52ab5b84b2c8b249:0x327c90b6530037cf!2s25272+WI-27,+Holcombe,+WI+54745!3b1!8m2!3d45.2096383!4d-91.1107289!16s%2Fg%2F11k9dlfnpq!3m5!1s0x52ab5b0964c83ac1:0x4b5ed68b2b2bffa5!8m2!3d45.2096383!4d-91.1107289!16s%2Fg%2F11t86kwjfs?entry=ttu",25272 Hwy 27,external
"https://www.google.com/maps/place/Awaken+Marine+and+Pro-Shops/@45.2096383,-91.1133092,17z/data=!4m15!1m8!3m7!1s0x52ab5b84b2c8b249:0x327c90b6530037cf!2s25272+WI-27,+Holcombe,+WI+54745!3b1!8m2!3d45.2096383!4d-91.1107289!16s%2Fg%2F11k9dlfnpq!3m5!1s0x52ab5b0964c83ac1:0x4b5ed68b2b2bffa5!8m2!3d45.2096383!4d-91.1107289!16s%2Fg%2F11t86kwjfs?entry=ttu","Holcombe, WI 54745",external
tel:7153124020,715-312-4020,internal
https://awaken-marine-and-powersports.odoo.com/,Website,external
https://maps.app.goo.gl/bVKqQt6RGvkfgnFQ9,1502 6th Ave SW,external
https://maps.app.goo.gl/bVKqQt6RGvkfgnFQ9,Aberdeen SD 57401,external
tel:6052254533,605-225-4533,internal
http://www.bieglers.com/,Website,external
"https://www.google.com/maps/place/14538+S+Lidberg+Bridge+Rd,+Gordon,+WI+54838/@46.2394602,-91.7017438,21z/data=!4m6!3m5!1s0x52ae9c522127d3c5:0x469244b103ac34ee!8m2!3d46.239442!4d-91.7017402!16s%2Fg%2F11sgy8fnv8?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D",14538 S Lidberg Bridge Rd,external
"https://www.google.com/maps/place/14538+S+Lidberg+Bridge+Rd,+Gordon,+WI+54838/@46.2394602,-91.7017438,21z/data=!4m6!3m5!1s0x52ae9c522127d3c5:0x469244b103ac34ee!8m2!3d46.239442!4d-91.7017402!16s%2Fg%2F11sgy8fnv8?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D","Gordon, WI 54838",external
tel: 2185910942,218-591-0942,internal
https://maps.app.goo.gl/hqQ4CFDFjZJx7zz96,3 4th St NW,external
https://maps.app.goo.gl/hqQ4CFDFjZJx7zz96,Madelia MN 56062,external
tel:5076423563,507-642-3563,internal
https://www.countryclipper.com/,Website,external
"https://www.google.com/maps/place/Dock+Guys,+LLC./@44.5281484,-69.6353004,17z/data=!4m15!1m8!3m7!1s0x4cb1e35ca626fe9d:0x69f21a775c255763!2s83+Cushman+Rd,+Winslow,+ME+04901!3b1!8m2!3d44.5281484!4d-69.6327201!16s%2Fg%2F11gxzlmwm8!3m5!1s0x4cb1e3ccf02e3ee7:0xadde776b9c839b3e!8m2!3d44.5280811!4d-69.6326701!16s%2Fg%2F12hn5q4h7?entry=ttu","83 CUSHMAN RD
Winslow ME 04901",external
tel: 2078737198,207-873-7198,internal
https://dockguys.com/,Website,external
"https://www.google.com/maps/place/DTM+Fleet+Service/@45.8159821,-94.2815379,17z/data=!4m15!1m8!3m7!1s0x52b440adbed6a4a3:0x5b61640590369b3c!2s17000+US-10,+Royalton,+MN+56373!3b1!8m2!3d45.8159821!4d-94.2789576!16s%2Fg%2F11hzmq6_h9!3m5!1s0x52b46773c0028761:0xf8963f336ed13bd8!8m2!3d45.8159821!4d-94.2789576!16s%2Fg%2F11h53fnf1r?entry=ttu",17000 HWY 10 NW,external
"https://www.google.com/maps/place/DTM+Fleet+Service/@45.8159821,-94.2815379,17z/data=!4m15!1m8!3m7!1s0x52b440adbed6a4a3:0x5b61640590369b3c!2s17000+US-10,+Royalton,+MN+56373!3b1!8m2!3d45.8159821!4d-94.2789576!16s%2Fg%2F11hzmq6_h9!3m5!1s0x52b46773c0028761:0xf8963f336ed13bd8!8m2!3d45.8159821!4d-94.2789576!16s%2Fg%2F11h53fnf1r?entry=ttu",Royalton MN 56373,external
tel:3202662319,320-266-2319,internal
https://dtmfleet.com/,Website,external
"https://www.google.com/maps/place/N15822+Tamarack+Rd,+Park+Falls,+WI+54552/@45.9439369,-90.5305294,17z/data=!3m1!4b1!4m6!3m5!1s0x52aa368bc44d4821:0x97afb8bb1f6e1969!8m2!3d45.9439369!4d-90.5279491!16s%2Fg%2F11rkcrttyc?entry=ttu",N15822 Tamarack Road,external
"https://www.google.com/maps/place/N15822+Tamarack+Rd,+Park+Falls,+WI+54552/@45.9439369,-90.5305294,17z/data=!3m1!4b1!4m6!3m5!1s0x52aa368bc44d4821:0x97afb8bb1f6e1969!8m2!3d45.9439369!4d-90.5279491!16s%2Fg%2F11rkcrttyc?entry=ttu","Butternut, WI 54514",external
tel:7156610889,715-661-0889,internal
https://www.google.com/maps/place/Hill+Country+Pontoons/data=!4m2!3m1!1s0x0:0x3a34398d5e5ab944?sa=X&amp;ved=1t:2428&amp;ictx=111,26581 Jackson Drive,external
https://www.google.com/maps/place/Hill+Country+Pontoons/data=!4m2!3m1!1s0x0:0x3a34398d5e5ab944?sa=X&amp;ved=1t:2428&amp;ictx=111,"Muscoda, WI 53573",external
tel:6085531977,608-553-1977,internal
https://www.google.com/maps/place/Jim,3847 MN-371 NW,external
https://www.google.com/maps/place/Jim,"Hackensack, MN 56452",external
tel:2186757500,218-675-7500,internal
https://jimstrailersplusmarine.com/,Website,external
"https://www.google.com/maps/place/W1475+US-63,+Hayward,+WI+54843/@45.9957769,-91.6137863,17z/data=!3m1!4b1!4m6!3m5!1s0x52ac3db23b97e825:0xd4690db8d25e2c17!8m2!3d45.9957769!4d-91.611206!16s%2Fg%2F11c8840s90?entry=ttu",W1475 Hwy 63,external
"https://www.google.com/maps/place/W1475+US-63,+Hayward,+WI+54843/@45.9957769,-91.6137863,17z/data=!3m1!4b1!4m6!3m5!1s0x52ac3db23b97e825:0xd4690db8d25e2c17!8m2!3d45.9957769!4d-91.611206!16s%2Fg%2F11c8840s90?entry=ttu","Hayward, WI 54843",external
tel:7156342297,715-634-2297,internal
https://kountrysidesales.com/,Website,external
"https://www.google.com/maps/place/853+25+3%2F8+St,+Chetek,+WI+54728/@45.3282674,-91.6372367,17z/data=!3m1!4b1!4m6!3m5!1s0x52ace974f7e38617:0xebe18d63daf38973!8m2!3d45.3282674!4d-91.6346564!16s%2Fg%2F11c60_dq9c?entry=ttu",853 25 3/8 Street,external
"https://www.google.com/maps/place/853+25+3%2F8+St,+Chetek,+WI+54728/@45.3282674,-91.6372367,17z/data=!3m1!4b1!4m6!3m5!1s0x52ace974f7e38617:0xebe18d63daf38973!8m2!3d45.3282674!4d-91.6346564!16s%2Fg%2F11c60_dq9c?entry=ttu","Chetek, WI 54728",external
tel:7152054164,715-205-4164,internal
https://www.lakeshoredockandlift.net,Website,external
"https://www.google.com/maps/place/Weeders+Digest/@45.0549258,-93.3963213,20.33z/data=!4m15!1m8!3m7!1s0x52b3365727f76623:0x866c5ae017aa1dd3!2s5620+International+Pkwy,+New+Hope,+MN+55428!3b1!8m2!3d45.054643!4d-93.3960514!16s%2Fg%2F11b8vfxqp0!3m5!1s0x52b3365c8b514c49:0xdf5125645605bba6!8m2!3d45.0548745!4d-93.3962806!16s%2Fg%2F1tfkktxg?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D",5620 International Pkwy,external
"https://www.google.com/maps/place/Weeders+Digest/@45.0549258,-93.3963213,20.33z/data=!4m15!1m8!3m7!1s0x52b3365727f76623:0x866c5ae017aa1dd3!2s5620+International+Pkwy,+New+Hope,+MN+55428!3b1!8m2!3d45.054643!4d-93.3960514!16s%2Fg%2F11b8vfxqp0!3m5!1s0x52b3365c8b514c49:0xdf5125645605bba6!8m2!3d45.0548745!4d-93.3962806!16s%2Fg%2F1tfkktxg?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D","New Hope, MN 55428",external
tel: 7635511441,763-551-1441,internal
http://weedersdigest.com,Website,external
tel:7154202442,715-420-2442,internal
http://www.liftsanddocks.net/,Website,external
"https://www.google.com/maps/place/496+S+Main+St,+Starbuck,+MN+56381/@45.6042054,-95.5338743,17z/data=!3m1!4b1!4m5!3m4!1s0x52ca67f5d57d453b:0x95e544da4fea915a!8m2!3d45.6042054!4d-95.531294?entry=ttu",496 South Main Street,external
"https://www.google.com/maps/place/496+S+Main+St,+Starbuck,+MN+56381/@45.6042054,-95.5338743,17z/data=!3m1!4b1!4m5!3m4!1s0x52ca67f5d57d453b:0x95e544da4fea915a!8m2!3d45.6042054!4d-95.531294?entry=ttu","Starbuck, MN 56381",external
tel:3202392293,320-239-2293,internal
http://www.minnewaskamarine.com,Website,external
https://g.co/kgs/vh3KhtY,"231 Eider Street,",external
https://g.co/kgs/vh3KhtY,"Milltown, WI 54858",external
tel:17158253833,715-825-3833,internal
https://www.milltownpowersports.com/,Website,external
https://maps.app.goo.gl/R5qaqrSysGw5uiJN7,"1725 East Main Street,",external
https://maps.app.goo.gl/R5qaqrSysGw5uiJN7,"Albert Lea, MN 56007",external
tel:15076684070,507-668-4070,internal
http://mainstreetautomn.com/,Website,external
https://maps.app.goo.gl/asruVgkHxYqmxtua7,"4750 4th Street Southwest,",external
https://maps.app.goo.gl/asruVgkHxYqmxtua7,"Mason City, IA 50401",external
tel:16414500910,641-450-0910,internal
http://mainstreetautomn.com/,Website,external
tel: 12182909041,218-290-9041,internal
"https://www.google.com/maps/place/801+6th+St+NW,+New+Prague,+MN+56071/@44.5503087,-93.5924733,17z/data=!3m1!4b1!4m6!3m5!1s0x87f671c2a07f71b1:0xdda82990d8fa21a6!8m2!3d44.5503087!4d-93.5924733!16s%2Fg%2F11gg4lgr1_?entry=ttu&amp;g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D",801 6th Street NW,external
"https://www.google.com/maps/place/801+6th+St+NW,+New+Prague,+MN+56071/@44.5503087,-93.5924733,17z/data=!3m1!4b1!4m6!3m5!1s0x87f671c2a07f71b1:0xdda82990d8fa21a6!8m2!3d44.5503087!4d-93.5924733!16s%2Fg%2F11gg4lgr1_?entry=ttu&amp;g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D","New Prague, MN 56071",external
tel: 9523031090,952-303-1090,internal
https://www.mndockandlift.com/,Website,external
"https://www.google.com/maps/place/Northern+Lights+Docks+and+Ramps/@43.1002427,-75.1585321,17z/data=!4m15!1m8!3m7!1s0x89d947d8bf5340fb:0xaa61709ebb5e0490!2s2208+NY-5,+Utica,+NY+13502!3b1!8m2!3d43.1002427!4d-75.1559518!16s%2Fg%2F11crwcqgln!3m5!1s0x89d9471050a6af71:0xcc3ce9e37c2bad86!8m2!3d43.1002966!4d-75.1558817!16s%2Fg%2F11bwkd_d2l?entry=ttu",2208 State Route 5,external
"https://www.google.com/maps/place/Northern+Lights+Docks+and+Ramps/@43.1002427,-75.1585321,17z/data=!4m15!1m8!3m7!1s0x89d947d8bf5340fb:0xaa61709ebb5e0490!2s2208+NY-5,+Utica,+NY+13502!3b1!8m2!3d43.1002427!4d-75.1559518!16s%2Fg%2F11crwcqgln!3m5!1s0x89d9471050a6af71:0xcc3ce9e37c2bad86!8m2!3d43.1002966!4d-75.1558817!16s%2Fg%2F11bwkd_d2l?entry=ttu","Utica, NY 13502",external
tel: 3157617669,315-761-7669,internal
https://northernlightsdocksandramps.com/,Website,external
"https://www.google.com/maps/place/Outlet+Dock+%26+Trailer/@46.76563,-96.151002,15z/data=!4m15!1m8!3m7!1s0x52c8f8ed0b0a039d:0x5c7dcaf20adf7e64!2s12034+Co+Hwy+4,+Lake+Park,+MN+56554!3b1!8m2!3d46.765481!4d-96.1518789!16s%2Fg%2F11c2dyyl65!3m5!1s0x52c8cb97d9c0b809:0xd627b2c630274653!8m2!3d46.7619628!4d-96.1535415!16s%2Fg%2F11h4tppdvm?entry=ttu",12034 CTY RD #4,external
"https://www.google.com/maps/place/Outlet+Dock+%26+Trailer/@46.76563,-96.151002,15z/data=!4m15!1m8!3m7!1s0x52c8f8ed0b0a039d:0x5c7dcaf20adf7e64!2s12034+Co+Hwy+4,+Lake+Park,+MN+56554!3b1!8m2!3d46.765481!4d-96.1518789!16s%2Fg%2F11c2dyyl65!3m5!1s0x52c8cb97d9c0b809:0xd627b2c630274653!8m2!3d46.7619628!4d-96.1535415!16s%2Fg%2F11h4tppdvm?entry=ttu","Lake Park, MN 56554",external
tel:7017937900,701-793-7900,internal
https://www.outletdockandtrailer.com/,Website,external
https://maps.app.goo.gl/R8TyDjnipRtFAL5h6,4515 Memorial Hwy,external
https://maps.app.goo.gl/R8TyDjnipRtFAL5h6,"Mandan, ND 58554",external
tel:17012140425,(701) 214-0425,internal
"https://www.google.com/maps/place/Minot,+ND/@48.2374272,-101.3532676,12z/data=!4m15!1m8!3m7!1s0x52deb78ae5ce7f0d:0xbcc590331b734416!2sMinot,+ND!3b1!8m2!3d48.2329668!4d-101.2922906!16zL20vMHlzNGY!3m5!1s0x52deb78ae5ce7f0d:0xbcc590331b734416!8m2!3d48.2329668!4d-101.2922906!16zL20vMHlzNGY?authuser=0&amp;entry=ttu",Minot Satellite Production Location,external
"https://www.google.com/maps/place/Minot,+ND/@48.2374272,-101.3532676,12z/data=!4m15!1m8!3m7!1s0x52deb78ae5ce7f0d:0xbcc590331b734416!2sMinot,+ND!3b1!8m2!3d48.2329668!4d-101.2922906!16zL20vMHlzNGY!3m5!1s0x52deb78ae5ce7f0d:0xbcc590331b734416!8m2!3d48.2329668!4d-101.2922906!16zL20vMHlzNGY?authuser=0&amp;entry=ttu","Minot, ND",external
tel:701-818-0288,701-818-0288,internal
"https://www.google.com/maps/place/9522+MN-22,+Glencoe,+MN+55336/@44.7781978,-94.1847561,17z/data=!3m1!4b1!4m6!3m5!1s0x87f58e28a7c1b881:0x98d59c24a85a0256!8m2!3d44.7781978!4d-94.1821812!16s%2Fg%2F11kpjzxc2t?entry=ttu","Glenco Satellite Production Location
9522 State Hwy 22",external
"https://www.google.com/maps/place/9522+MN-22,+Glencoe,+MN+55336/@44.7781978,-94.1847561,17z/data=!3m1!4b1!4m6!3m5!1s0x87f58e28a7c1b881:0x98d59c24a85a0256!8m2!3d44.7781978!4d-94.1821812!16s%2Fg%2F11kpjzxc2t?entry=ttu","Glenco, MN 55336",external
tel:7633314445,763-331-4445,internal
"https://www.google.com/maps/place/1079+MN-84,+Pine+River,+MN+56474/@46.8445031,-94.3579734,17z/data=!3m1!4b1!4m6!3m5!1s0x52b7189c27f3b519:0x3d016345f5333709!8m2!3d46.8445031!4d-94.3553931!16s%2Fg%2F11p_82_n2s?entry=ttu",1079 State Hwy 84 NW,external
"https://www.google.com/maps/place/1079+MN-84,+Pine+River,+MN+56474/@46.8445031,-94.3579734,17z/data=!3m1!4b1!4m6!3m5!1s0x52b7189c27f3b519:0x3d016345f5333709!8m2!3d46.8445031!4d-94.3553931!16s%2Fg%2F11p_82_n2s?entry=ttu","Pine River, MN 56474",external
tel:2189474518,218-947-4518,internal
http://www.prososkiallcare.com/,Website,external
"https://www.google.com/maps/place/16477+68th+St,+Royalton,+MN+56373/@45.8586662,-94.3146529,20.94z/data=!4m6!3m5!1s0x52b438e19f35c229:0xa4f161c36a922ce9!8m2!3d45.8586467!4d-94.3145385!16s%2Fg%2F11hzmq81_7?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D","16477 68th St,",external
"https://www.google.com/maps/place/16477+68th+St,+Royalton,+MN+56373/@45.8586662,-94.3146529,20.94z/data=!4m6!3m5!1s0x52b438e19f35c229:0xa4f161c36a922ce9!8m2!3d45.8586467!4d-94.3145385!16s%2Fg%2F11hzmq81_7?entry=ttu&amp;g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D","Royalton, MN 56373",external
tel:3202505546,320-250-5546,internal
http://www.reemarine.com/,Website,external
https://maps.app.goo.gl/DqSqjbkRoBQgNrb17,"301 Front Street,",external
https://maps.app.goo.gl/DqSqjbkRoBQgNrb17,"Randolph, KS 66554",external
tel:17852935636,785-293-5636,internal
https://tuttlecreekoutdoors.com/,Website,external
"https://www.google.com/maps/place/Z-Marine/@45.4090507,-94.071433,17z/data=!4m15!1m8!3m7!1s0x52b48dceed8b172d:0x86fcf9e90da7d590!2s2238+196th+St+E,+Clearwater,+MN+55320!3b1!8m2!3d45.4090507!4d-94.0688527!16s%2Fg%2F11fmpzcntr!3m5!1s0x52b48e86f530cbc3:0xca25e7559c95cd72!8m2!3d45.4090005!4d-94.0690173!16s%2Fg%2F1tyywr_3?entry=ttu",2238 196th St E,external
"https://www.google.com/maps/place/Z-Marine/@45.4090507,-94.071433,17z/data=!4m15!1m8!3m7!1s0x52b48dceed8b172d:0x86fcf9e90da7d590!2s2238+196th+St+E,+Clearwater,+MN+55320!3b1!8m2!3d45.4090507!4d-94.0688527!16s%2Fg%2F11fmpzcntr!3m5!1s0x52b48e86f530cbc3:0xca25e7559c95cd72!8m2!3d45.4090005!4d-94.0690173!16s%2Fg%2F1tyywr_3?entry=ttu","Clearwater, MN 55320",external
tel:3205589422,320-558-9422,internal
http://www.z-marine.com/,Website,external
